street,zip_code,city,state,county,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
47 Ashworth Ct,7023,Fanwood,NJ,Union,40.637206,-74.387552,SingleFamily,2015,362160,1983,7405,NA,2,3,4/17/17,495000,42402,city,Fanwood
1236 Wheatsheaf Rd,7203,Roselle,NJ,Union,40.644974,-74.262161,SingleFamily,2015,207514,1950,5227,NA,2,3,4/16/17,147000,13593,city,Roselle
431 Bramhall Rd,7065,Rahway,NJ,Union,40.596901,-74.297706,SingleFamily,2015,230092,1956,6098,1325,2,3,4/14/17,320000,8854,city,Rahway
6 Orchard Ter,7066,Clark,NJ,Union,40.611192,-74.332492,SingleFamily,2015,383268,1948,9583,NA,2,4,4/14/17,430000,10836,city,Clark
608 Brookside Pl,7016,Cranford,NJ,Union,40.660999,-74.32048,SingleFamily,2015,472735,1948,9583,NA,3,3,4/14/17,586000,31092,city,Cranford
65 Woodcrest Cir,7081,Springfield,NJ,Union,40.714001,-74.327596,SingleFamily,2015,268184,1949,6730,1184,1,4,4/14/17,265000,41030,city,Springfield
817 Walnut St,7036,Linden,NJ,Union,40.638912,-74.258434,SingleFamily,2015,217214,1951,5662,1317,1,3,4/14/17,122500,36718,city,Linden
348 Dogwood Dr,7083,Union,NJ,Union,40.680307,-74.260956,SingleFamily,2015,397293,1940,5662,3190,3,5,4/14/17,405000,20883,city,Union
1714 Grandview Ave,7090,Westfield,NJ,Union,40.638635,-74.316915,SingleFamily,2015,809543,1977,14374,2560,3,4,4/14/17,720000,27896,city,Westfield
120 Berwick St,7202,Elizabeth,NJ,Union,40.660046,-74.23518,SingleFamily,2016,221642,1960,3197,NA,3,4,10/4/16,282500,31388,city,Elizabeth
1029 Lafayette St,7201,Elizabeth,NJ,Union,40.664878,-74.207144,SingleFamily,2015,160484,NA,3241,NA,NA,NA,12/13/16,60000,31388,city,Elizabeth
17 Kerlyn Ct,7202,Elizabeth,NJ,Union,40.655527,-74.226391,SingleFamily,2015,93868,NA,2696,NA,1,2,9/29/16,25000,31388,city,Elizabeth
901 Anna St,7201,Elizabeth,NJ,Union,40.667699,-74.200445,SingleFamily,2015,260409,1988,2500,NA,1.5,3,3/13/17,130000,31388,city,Elizabeth
10 Niles St,7202,Elizabeth,NJ,Union,40.654285,-74.200517,MultiFamily2To4,2015,273278,NA,2613,NA,3,5,6/14/13,260000,31388,city,Elizabeth
581 Monroe Ave,7201,Elizabeth,NJ,Union,40.674118,-74.204625,MultiFamily2To4,2015,286147,1910,3920,2244,4,6,8/25/16,350000,31388,city,Elizabeth
1041 Richford Ter,7202,Elizabeth,NJ,Union,40.652536,-74.228968,SingleFamily,2015,164269,1950,3484,NA,1,2,11/21/16,177000,31388,city,Elizabeth
126 Alton St,7202,Elizabeth,NJ,Union,40.660731,-74.234409,SingleFamily,2015,239213,1930,3484,1200,3,3,10/7/16,310000,31388,city,Elizabeth
18 Newcomb Pl,7202,Elizabeth,NJ,Union,40.657568,-74.229381,MultiFamily2To4,2015,311885,1940,4356,NA,2,6,9/20/16,250000,31388,city,Elizabeth
80 Westfield Ave,7208,Elizabeth,NJ,Union,40.667441,-74.220122,SingleFamily,2015,179409,NA,4092,NA,2,4,11/29/16,225000,31388,city,Elizabeth
221 Center St,7202,Elizabeth,NJ,Union,40.658455,-74.205794,MultiFamily2To4,2015,180166,1900,2613,NA,2,5,3/7/17,230000,31388,city,Elizabeth
618 Chetwood St,7202,Elizabeth,NJ,Union,40.64872,-74.211984,SingleFamily,2015,206661,1945,4356,1152,2,3,9/9/16,240000,31388,city,Elizabeth
736 Eugenia Pl,7202,Elizabeth,NJ,Union,40.658349,-74.217365,SingleFamily,2015,186979,NA,NA,NA,2,6,1/29/17,165500,31388,city,Elizabeth
