street,zip_code,city,state,county,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
25 Eagle Nest Rd,7960,Morristown,NJ,Morris,40.767549,-74.470433,SingleFamily,2015,1170806,1979,46173,3900,3.5,5,8/26/16,785000,398997,city,Morris Township
404 South St,7960,Morristown,NJ,Morris,40.778513,-74.466523,SingleFamily,2015,361893,1911,12632,1920,NA,NA,1/6/17,110000,398997,city,Morris Township
161 Sand Spring Rd,7960,Morristown,NJ,Morris,40.766927,-74.507156,SingleFamily,2015,540532,1948,29978,2804,3,4,10/5/16,607500,397524,city,Harding Township
150 Waughaw Rd,7082,Towaco,NJ,Morris,40.940524,-74.362148,SingleFamily,2015,836229,1980,131986,4500,5,5,4/21/17,720000,43583,city,Montville
2350 State Route 10 APT D31,7950,Morris Plains,NJ,Morris,40.854946,-74.476737,SingleFamily,2015,171188,1960,NA,852,1,2,4/18/17,195000,396009,city,Parsippany-Troy Hills Township
49 Beach St,7866,Rockaway,NJ,Morris,40.899034,-74.505343,SingleFamily,2015,243156,1924,6251,1272,NA,NA,4/18/17,296000,396484,city,Rockaway Township
126 Elmwood Dr,7054,Parsippany,NJ,Morris,40.853557,-74.446683,SingleFamily,2015,318208,NA,NA,NA,2,3,4/18/17,299500,396009,city,Parsippany-Troy Hills Township
18 Chester Ave,7866,Rockaway,NJ,Morris,40.90351,-74.519793,SingleFamily,2015,259063,1954,5227,1650,2,3,4/18/17,310000,396484,city,Rockaway Township
133 Harrison Rd,7054,Parsippany,NJ,Morris,40.861916,-74.432603,SingleFamily,2015,327923,1965,6969,2000,3,4,4/18/17,382000,396009,city,Parsippany-Troy Hills Township
4 Fieldcrest Rd,7930,Chester,NJ,Morris,40.778907,-74.689846,SingleFamily,2015,779092,1998,92347,3547,3,4,4/18/17,583000,395751,city,Chester Township
524 Davsel Rd,7850,Landing,NJ,Morris,40.908899,-74.646357,SingleFamily,2015,169538,1958,7405,750,1,2,4/18/17,104000,398431,city,Roxbury Township
5 Bell Ct,7850,Landing,NJ,Morris,40.90878,-74.656328,SingleFamily,2015,262540,1966,7405,1972,2,3,4/18/17,330000,398431,city,Roxbury Township
14 Wexford Dr,7945,Mendham,NJ,Morris,40.791411,-74.589284,SingleFamily,2015,428697,1980,4356,1676,3,3,4/18/17,449100,397829,city,Mendham Township
12 Ridge Rd,7876,Succasunna,NJ,Morris,40.8476,-74.661991,SingleFamily,2015,452965,1976,32670,NA,3,5,4/18/17,480000,47885,city,Succasunna
28 Condict Rd,7850,Landing,NJ,Morris,40.907983,-74.652249,SingleFamily,2015,197591,1955,9147,1152,1,3,4/18/17,117500,398431,city,Roxbury Township
21 Kern Dr,7836,Flanders,NJ,Morris,40.853615,-74.735721,SingleFamily,2015,276300,1963,24829,1500,2,3,4/18/17,355000,397185,city,Mt Olive Township
8 Wildwood Ave,7828,Budd Lake,NJ,Morris,40.861346,-74.749168,SingleFamily,2015,286600,1987,43560,2668,3,4,4/18/17,360000,35236,city,Budd Lake
122 Fairview Ave,7853,LONG VALLEY,NJ,Morris,40.794343,-74.772352,SingleFamily,2015,288500,1970,40075,2662,3,3,4/18/17,382800,49769,city,Long Valley
25 Swan Ln,7849,Lake Hopatcong,NJ,Morris,40.96221,-74.603724,SingleFamily,2015,515917,2003,53143,3908,3,5,4/18/17,505000,12117,city,Jefferson Township
