street,zip_code,city,state,county,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
1126 Debra Dr,7036,Linden,NJ,union,40.628881,-74.274342,SingleFamily,2015,245608,1960,8712,1414,2,3,1/29/17,355000,36718,city,Linden
628 Benson Pl,7090,Westfield,NJ,union,40.655731,-74.331553,SingleFamily,2015,558250,1942,7405,NA,3,3,1/29/17,591000,27896,city,Westfield
5 Greenbriar Ln,7076,Scotch Plains,NJ,union,40.609739,-74.381036,SingleFamily,2015,983159,1971,44866,NA,6,5,1/29/17,900000,20391,city,Scotch Plains
736 Eugenia Pl,7202,Elizabeth,NJ,union,40.658349,-74.217365,SingleFamily,2015,186979,NA,NA,NA,2,6,1/29/17,165500,31388,city,Elizabeth
352 Florence Ave,7205,Hillside,NJ,union,40.701606,-74.232293,SingleFamily,2016,143120,1940,3484,1400,1,3,1/29/17,65000,55745,city,Hillside
607 Donato Cir,7076,Scotch Plains,NJ,union,40.65838,-74.401592,Townhouse,2015,367282,2005,NA,1758,2,2,1/30/17,380000,20391,city,Scotch Plains
1434B Liberty Ave,7205,Hillside,NJ,union,40.702328,-74.228794,Townhouse,2015,105425,1949,2613,NA,1,2,1/29/17,94000,55745,city,Hillside
255 Tucker Ave APT 241,7083,Union,NJ,union,40.673268,-74.268511,Condominium,2015,73573,1971,NA,NA,1,1,1/29/17,80000,20883,city,Union
722 Shackamaxon Dr,7090,Westfield,NJ,union,40.638056,-74.350346,SingleFamily,2015,977733,1983,14623,3022,4,5,1/29/17,1100000,27896,city,Westfield
1277 Erhardt St,7083,Union,NJ,union,40.697382,-74.247111,SingleFamily,2015,243673,1958,7405,NA,2,4,1/27/17,335000,20883,city,Union
7 Manchester Dr,7090,Westfield,NJ,union,40.638119,-74.326879,SingleFamily,2015,601193,1958,12001,2138,4,4,1/27/17,940000,27896,city,Westfield
47 Sagamore Dr,7974,New Providence,NJ,union,40.692779,-74.406571,SingleFamily,2015,564485,1958,19602,NA,2,4,1/27/17,540000,46727,city,New Providence
1613 Willever St,7063,Plainfield,NJ,union,40.597348,-74.44972,SingleFamily,2015,121282,1926,3049,810,1,2,1/27/17,144500,33445,city,Plainfield
7 Edgebrook Pl,7016,Cranford,NJ,union,40.649657,-74.295925,SingleFamily,2016,321786,1925,4792,1240,3,3,1/26/17,475000,31092,city,Cranford
2563 Doris Ave,7083,Union,NJ,union,40.711862,-74.284732,SingleFamily,2015,216009,1930,3920,1380,2,3,1/26/17,250000,20883,city,Union
2006 Mountain Ave,7076,Scotch Plains,NJ,union,40.655369,-74.397763,SingleFamily,2015,348036,1950,8176,1394,NA,NA,1/26/17,405000,20391,city,Scotch Plains
28 Huntley Rd,7901,Summit,NJ,union,40.71926,-74.339092,SingleFamily,2015,361422,NA,6534,NA,2,3,1/26/17,477000,27319,city,Summit
809 W Blancke St,7036,Linden,NJ,union,40.6258,-74.258831,SingleFamily,2015,247028,2016,5227,2400,3,4,1/26/17,415000,36718,city,Linden
160 Meadow Rd,7066,Clark,NJ,union,40.617038,-74.327896,SingleFamily,2015,546044,1965,15246,NA,3,4,5/14/07,660000,10836,city,Clark
504 Jaques Ave,7065,Rahway,NJ,union,40.598329,-74.288664,SingleFamily,2015,215409,1920,5001,1251,2,3,1/26/17,244500,8854,city,Rahway
905 Coolidge St,7090,Westfield,NJ,union,40.65953,-74.330536,SingleFamily,2015,543538,1953,8712,1273,2,3,1/26/17,525000,27896,city,Westfield
304 Riverside Dr,7016,Cranford,NJ,union,40.663329,-74.307623,SingleFamily,2015,299088,1936,10454,NA,2,2,1/26/17,310000,31092,city,Cranford
1849 Pilgrim Way,7083,Union,NJ,union,40.702074,-74.259821,SingleFamily,2015,353149,1939,8276,NA,3,4,1/26/17,380000,20883,city,Union
400 W 5th Ave,7203,Roselle,NJ,union,40.65379,-74.272388,SingleFamily,2015,189250,1918,6534,1155,2,3,1/27/17,215000,13593,city,Roselle
136 Lincoln Rd,7090,Westfield,NJ,union,40.654846,-74.35836,SingleFamily,2015,951093,1929,10158,2747,3,4,1/26/17,970500,27896,city,Westfield
30 Stanton St,7066,Clark,NJ,union,40.617439,-74.297426,SingleFamily,2015,315499,1951,4791,856,2,3,1/26/17,447000,10836,city,Clark
17 Oakley Ave,7901,Summit,NJ,union,40.713911,-74.374817,SingleFamily,2015,1031515,1932,10018,NA,4.5,4,1/26/17,1132000,27319,city,Summit
543 Olive Ter,7083,Union,NJ,union,40.685076,-74.261107,SingleFamily,2015,280753,1945,5001,NA,2,3,1/26/17,370000,20883,city,Union
917 Chandler Ave,7203,Roselle,NJ,union,40.650936,-74.250583,MultiFamily2To4,2015,166638,1915,3049,1600,2,4,1/25/17,192000,13593,city,Roselle
1253 Glenn Ave,7083,Union,NJ,union,40.702613,-74.270073,SingleFamily,2015,278399,1941,5501,NA,2,5,1/25/17,280000,20883,city,Union
333 Concord St,7065,Rahway,NJ,union,40.597817,-74.294493,SingleFamily,2015,275005,1977,5180,1547,2,3,1/24/17,269900,8854,city,Rahway
578 Conant St,7205,Hillside,NJ,union,40.689028,-74.235902,SingleFamily,2015,232444,1957,6499,NA,NA,NA,1/24/17,165000,55745,city,Hillside
2732 Audrey Ter,7083,Union,NJ,union,40.71006,-74.292214,SingleFamily,2015,339612,1962,5049,NA,3,3,1/24/17,418000,20883,city,Union
111 Hazel Ave,7090,Westfield,NJ,union,40.642656,-74.3567,SingleFamily,2015,485487,2016,6534,2640,4,4,1/24/17,625000,27896,city,Westfield
24 Bailey Ave,7205,Hillside,NJ,union,40.701025,-74.214336,SingleFamily,2015,237888,1930,6534,NA,2,3,1/23/17,125000,55745,city,Hillside
9 Meadowview Ln,7922,Berkeley Heights,NJ,union,40.693466,-74.425079,Condominium,2015,408624,1990,8712,NA,2.5,2,1/23/17,440000,28407,city,Berkeley Heights
281 Short Hills Ave,7081,Springfield,NJ,union,40.718024,-74.319563,SingleFamily,2015,332441,1934,10454,NA,2,3,1/23/17,365000,41030,city,Springfield
1074 Ledgewood Rd,7092,Mountainside,NJ,union,40.690039,-74.351598,SingleFamily,2015,721387,1965,18687,2250,3,4,1/23/17,625000,39910,city,Mountainside
